name;department;line_id;station_id;type;name_station;num_docks_available;cargo_docks;is_installed;date_installed;repair_station;inflator_station;video_monitoring;lockers;vae_refills;automatic_sensors_counting;automatic_video_counting;price;price_navigo;url_subscription;url_find_out_more;project_owner;id_contrat;zdcname;zdcld;municipality;insee_code;intercommunality;x_long;y_lat;Geo Point;Geo Shape;code_sav
Villeneuve-le-roi;94.0;RER C;911;consigne;Villeneuve-le-roi;40;;true;2024;False;False;True;False;False;False;False;30 €;0 €;https://mon-espace.iledefrance-mobilites.fr/souscription-service-parking-velos/911;https://www.iledefrance-mobilites.fr/services-mobilite-alternative/parkings-velos;SNCF;68.0;Villeneuve-le-Roi;69625;Villeneuve-le-Roi;94077;EPT Grand Orly Seine Bièvre;2.4259462268256;48.740149128601;48.740149128601, 2.4259462268256;"{""coordinates"": [2.42594622683, 48.7401491286], ""type"": ""Point""}";548
Villepinte;93.0;RER B;806;consigne;Villepinte;40;;true;2023;False;False;True;False;False;False;False;30 €;0 €;https://mon-espace.iledefrance-mobilites.fr/souscription-service-parking-velos/806;https://www.iledefrance-mobilites.fr/services-mobilite-alternative/parkings-velos;SNCF;68.0;Villepinte;73547;Villepinte;93078;EPT Paris Terres d'Envol;2.5121689282771;48.962656799089;48.962656799089, 2.5121689282771;"{""coordinates"": [2.51216892828, 48.9626567991], ""type"": ""Point""}";548
Villepreux-les-clayes;78.0;TRAIN N;1002;abri;;10;;true - non labellisé non financé;;False;False;False;False;False;False;False;;NC;NC;;NC;;Villepreux - Les Clayes;64145;Les Clayes-sous-Bois;78165;CA Saint-Quentin-en-Yvelines;1.99316568355814;48.8237155851217;48.8237155851217, 1.99316568355814;"{""coordinates"": [1.99316568356, 48.8237155851], ""type"": ""Point""}";#N/A
Villiers-neauphle Pontchartrain;78.0;TRAIN N;242;abri;;20;;true;2019;False;False;False;False;False;False;False;;NC;NC;https://www.iledefrance-mobilites.fr/services-mobilite-alternative/parkings-velos;SNCF;68.0;Villiers - Neauphle - Pontchartrain;424296;Villiers-Saint-Frédéric;78683;CC Cœur d'Yvelines;1.87750417665;48.8153285761;48.8153285761, 1.87750417665;"{""coordinates"": [1.87750417665, 48.8153285761], ""type"": ""Point""}";#N/A
Vincennes;94.0;RER A;564;consigne;Vincennes - Aubert;54;;true;2023;False;False;False;False;False;False;False;30 €;0 €;https://ratp.parkings-velos.iledefrance-mobilites.fr/;;RATP;65.0;Vincennes;71651;Vincennes;94080;EPT Paris Est Marne et Bois;2.433674;48.847407;48.847407, 2.433674;"{""coordinates"": [2.433674, 48.847407], ""type"": ""Point""}";526
Acheres Ville;78.0;RER A,TRAIN L;575;abri;;20;;true - non labellisé non financé;2023;False;False;False;False;False;False;False;;NC;NC;;CU - Grand Paris Seine et Oise;;Achères Ville;73604;Achères;78005;CU Grand Paris Seine et Oise;2.077045;48.9702742;48.9702742, 2.077045;"{""coordinates"": [2.077045, 48.9702742], ""type"": ""Point""}";#N/A
Aeroport D'orly;91.0;METRO 14;1350;abri;;60;;true;2024;False;False;False;False;False;False;False;;NC;NC;;ADP;50.0;Aéroport d’Orly (Terminal 4);63284;Paray-Vieille-Poste;91479;EPT Grand Orly Seine Bièvre;2.3621;48.7277;48.7277, 2.3621;"{""coordinates"": [2.3621, 48.7277], ""type"": ""Point""}";#N/A
Aime Cesaire;93.0;METRO 12;753;abri;;50;;true;2025;False;False;False;False;False;False;False;;NC;NC;;RATP;65.0;Aimé Césaire;72491;Aubervilliers;93001;EPT Plaine Commune;2.37767289;48.90805821;48.90805821, 2.37767289;"{""coordinates"": [2.37767289, 48.90805821], ""type"": ""Point""}";#N/A
Arboretum;93.0;TRAM 4;1011;abri;;22;;true - non labellisé;2021;False;False;False;False;False;False;False;;NC;NC;;IDFM;;Arboretum;478648;Montfermeil;93047;EPT Grand Paris Grand Est;2.560903;48.898066;48.898066, 2.560903;"{""coordinates"": [2.560903, 48.898066], ""type"": ""Point""}";#N/A
Arboretum;93.0;TRAM 4;1012;abri;;12;;true - non labellisé;2021;False;False;False;False;False;False;False;;NC;NC;;IDFM;;Arboretum;478648;Montfermeil;93047;EPT Grand Paris Grand Est;2.562263;48.897956;48.897956, 2.562263;"{""coordinates"": [2.562263, 48.897956], ""type"": ""Point""}";#N/A
